# /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/CVs/DBSCANanalysisSpecies.py --model /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/DAPC/4/323K/4DAPC.psf --traj /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/DAPC/4/323K/fixed_4DAPC_100.dcd --lipid_list /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/DAPC/lipidList_NO_CHOL.dat --r /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/DAPC/323K/avgRcutoff_NO_CHOL.dat
# Individual Species Contribution :	 DPPC-DPPC	DAPC-DAPC
# Cluster-count	Core to Total Lipids	Cluster lipids to        Total Lipids	Outliers To Total Lipids	Mean Core lipids per cluster        	STD Core lipids per cluster	 Mean lipids per cluster	 STD lipids         per cluster	 Silhouette Coefficent
2	2 0.6733333333333333	0.7944444444444444 0.98	0.9833333333333333 0.02	0.016666666666666666 202.0	143.0 9.0	3.0 294.0	177.0 1.0	1.0 2	2
2	2 0.6183333333333333	0.7555555555555555 0.9366666666666666	0.9583333333333334 0.06333333333333334	0.041666666666666664 185.5	136.0 2.5	4.0 281.0	172.5 6.0	3.5 2	2
2	2 0.6516666666666666	0.7388888888888889 0.965	0.9777777777777777 0.035	0.022222222222222223 195.5	133.0 9.5	1.0 289.5	176.0 0.5	2.0 2	2
2	2 0.6733333333333333	0.7583333333333333 0.95	0.9694444444444444 0.05	0.030555555555555555 202.0	136.5 3.0	2.5 285.0	174.5 6.0	1.5 2	2
2	2 0.64	0.7583333333333333 0.9483333333333334	0.9444444444444444 0.051666666666666666	0.05555555555555555 192.0	136.5 8.0	0.5 284.5	170.0 2.5	0.0 2	2
2	2 0.665	0.75 0.955	0.9555555555555556 0.045	0.044444444444444446 199.5	135.0 11.5	2.0 286.5	172.0 6.5	0.0 2	2
2	2 0.615	0.75 0.95	0.9472222222222222 0.05	0.05277777777777778 184.5	135.0 3.5	0.0 285.0	170.5 2.0	0.5 2	2
2	2 0.65	0.7222222222222222 0.965	0.9611111111111111 0.035	0.03888888888888889 195.0	130.0 1.0	1.0 289.5	173.0 3.5	0.0 2	2
3	2 0.6516666666666666	0.7666666666666667 0.945	0.9638888888888889 0.055	0.03611111111111111 130.33333333333334	138.0 90.4077184512227	2.0 189.0	173.5 127.9479060659715	1.5 0.18561848480227458	2
2	2 0.625	0.7333333333333333 0.945	0.9555555555555556 0.055	0.044444444444444446 187.5	132.0 8.5	0.0 283.5	172.0 2.5	0.0 2	2
2	2 0.695	0.7555555555555555 0.9666666666666667	0.9555555555555556 0.03333333333333333	0.044444444444444446 208.5	136.0 6.5	5.0 290.0	172.0 0.0	3.0 2	2
3	2 0.645	0.75 0.9533333333333334	0.9694444444444444 0.04666666666666667	0.030555555555555555 129.0	135.0 85.91080646034389	2.0 190.66666666666666	174.5 119.66713091831953	0.5 0.16539335222511942	2
3	2 0.64	0.675 0.935	0.9444444444444444 0.065	0.05555555555555555 128.0	121.5 88.72804892854721	4.5 187.0	170.0 125.96031120952345	4.0 0.17911773014423835	2
2	2 0.69	0.7472222222222222 0.9566666666666667	0.9666666666666667 0.043333333333333335	0.03333333333333333 207.0	134.5 9.0	2.5 287.0	174.0 8.0	2.0 2	2
2	2 0.635	0.7277777777777777 0.94	0.9611111111111111 0.06	0.03888888888888889 190.5	131.0 7.5	2.0 282.0	173.0 2.0	1.0 2	2
2	2 0.6166666666666667	0.7388888888888889 0.9266666666666666	0.9777777777777777 0.07333333333333333	0.022222222222222223 185.0	133.0 13.0	4.0 278.0	176.0 5.0	3.0 2	2
2	3 0.6683333333333333	0.7472222222222222 0.9533333333333334	0.9833333333333333 0.04666666666666667	0.016666666666666666 200.5	89.66666666666667 3.5	61.28802674439945 286.0	118.0 3.0	77.79888602458692 2	0.08102193666618844
2	2 0.6933333333333334	0.7555555555555555 0.9566666666666667	0.9694444444444444 0.043333333333333335	0.030555555555555555 208.0	136.0 5.0	4.0 287.0	174.5 3.0	2.5 2	2
3	2 0.6533333333333333	0.7388888888888889 0.9633333333333334	0.9583333333333334 0.03666666666666667	0.041666666666666664 130.66666666666666	133.0 90.28227339233815	2.0 192.66666666666666	172.5 130.61988958637025	0.5 0.08300668059293591	2
2	2 0.6866666666666666	0.7277777777777777 0.945	0.95 0.055	0.05 206.0	131.0 1.0	0.0 283.5	171.0 7.5	0.0 2	2
2	2 0.6533333333333333	0.7416666666666667 0.925	0.9666666666666667 0.075	0.03333333333333333 196.0	133.5 6.0	2.5 277.5	174.0 5.5	3.0 2	2
2	2 0.71	0.75 0.9533333333333334	0.9694444444444444 0.04666666666666667	0.030555555555555555 213.0	135.0 9.0	12.0 286.0	174.5 6.0	4.5 2	2
2	2 0.66	0.7833333333333333 0.9583333333333334	0.975 0.041666666666666664	0.025 198.0	141.0 7.0	3.0 287.5	175.5 0.5	1.5 2	2
2	2 0.7016666666666667	0.7944444444444444 0.9516666666666667	0.9694444444444444 0.04833333333333333	0.030555555555555555 210.5	143.0 8.5	1.0 285.5	174.5 1.5	0.5 2	2
2	2 0.65	0.7166666666666667 0.955	0.9555555555555556 0.045	0.044444444444444446 195.0	129.0 3.0	6.0 286.5	172.0 0.5	4.0 2	2
2	2 0.62	0.7444444444444445 0.9366666666666666	0.9416666666666667 0.06333333333333334	0.058333333333333334 186.0	134.0 2.0	4.0 281.0	169.5 1.0	1.5 2	2
3	2 0.6566666666666666	0.7583333333333333 0.9433333333333334	0.9611111111111111 0.056666666666666664	0.03888888888888889 131.33333333333334	136.5 90.4077184512227	0.5 188.66666666666666	173.0 125.68302280826246	1.0 0.08171477712836729	2
2	2 0.63	0.725 0.965	0.9583333333333334 0.035	0.041666666666666664 189.0	130.5 1.0	1.5 289.5	172.5 1.5	0.5 2	2
